PropertyNumber,Suburb,State,Postcode,Category,PropertySalePrice,from_unixtime(PropertySaleDate),NumberOfBedrooms
120819657,Footscray,Vic,3011,House,1035000,"2015-11-16 00:00:00",3
120822069,Footscray,Vic,3011,Townhouse,525000,"2015-10-18 00:00:00",3
120822297,Footscray,Vic,3011,Apartment,350000,"2015-10-24 00:00:00",2
120834325,Footscray,Vic,3011,House,1300000,"2015-10-21 00:00:00",4
120839489,Footscray,Vic,3011,Apartment,340000,"2015-12-15 00:00:00",2
120839589,Footscray,Vic,3011,House,892000,"2015-10-23 00:00:00",3
120852169,Footscray,Vic,3011,House,1100000,"2015-10-23 00:00:00",4
120859373,Footscray,Vic,3011,Townhouse,580000,"2015-10-31 00:00:00",2
120860577,Footscray,Vic,3011,House,865000,"2015-11-12 00:00:00",4
120873937,Footscray,Vic,3011,Apartment,287500,"2015-11-20 00:00:00",2
120874469,Footscray,Vic,3011,Apartment,327500,"2015-11-13 00:00:00",2
120879721,Footscray,Vic,3011,Unit,255000,"2015-11-24 00:00:00",2
120883069,Footscray,Vic,3011,Townhouse,656123,"2015-10-23 00:00:00",2
120896505,Footscray,Vic,3011,Townhouse,530000,"2015-11-04 00:00:00",2
120896513,Footscray,Vic,3011,House,621000,"2015-10-31 00:00:00",3
120897449,Footscray,Vic,3011,Villa,265000,"2015-10-23 00:00:00",1
120901513,Footscray,Vic,3011,Unit,300000,"2015-10-24 00:00:00",2
120901665,Footscray,Vic,3011,Apartment,295000,"2015-11-09 00:00:00",1
120911373,Footscray,Vic,3011,Apartment,410000,"2016-01-07 00:00:00",2
120919665,Footscray,Vic,3011,Other,1090000,"2016-02-25 00:00:00",3
120955718,Footscray,Vic,3011,Apartment,660000,"2015-10-18 00:00:00",3
120956034,Footscray,Vic,3011,Apartment,565000,"2015-10-20 00:00:00",3
120956246,Footscray,Vic,3011,Apartment,335000,"2015-10-25 00:00:00",1
120963130,Footscray,Vic,3011,House,832000,"2015-11-11 00:00:00",2
120971034,Footscray,Vic,3011,House,655000,"2015-12-09 00:00:00",5
120976410,Footscray,Vic,3011,Apartment,245000,"2015-12-02 00:00:00",1
121030158,Footscray,Vic,3011,House,729000,"2015-11-14 00:00:00",3
121030758,Footscray,Vic,3011,Townhouse,470000,"2015-11-13 00:00:00",3
121055070,Footscray,Vic,3011,Townhouse,470000,"2015-11-21 00:00:00",2
121057010,Footscray,Vic,3011,House,826000,"2015-11-21 00:00:00",4
121059726,Footscray,Vic,3011,House,451000,"2015-12-02 00:00:00",2
121100862,Footscray,Vic,3011,House,900000,"2015-11-21 00:00:00",3
121111974,Footscray,Vic,3011,Townhouse,415000,"2015-11-21 00:00:00",1
121143474,Footscray,Vic,3011,Apartment,296000,"2015-12-09 00:00:00",1
121144918,Footscray,Vic,3011,Apartment,121000,"2016-01-19 00:00:00",2
121144934,Footscray,Vic,3011,House,895000,"2015-12-03 00:00:00",4
121146278,Footscray,Vic,3011,Apartment,397500,"2015-11-25 00:00:00",2
121158826,Footscray,Vic,3011,Apartment,530000,"2016-01-29 00:00:00",2
121172066,Footscray,Vic,3011,Apartment,450000,"2015-11-16 00:00:00",3
121188806,Footscray,Vic,3011,House,705000,"2015-11-28 00:00:00",3
121194810,Footscray,Vic,3011,Apartment,281000,"2015-12-04 00:00:00",1
121199358,Footscray,Vic,3011,House,671500,"2016-02-25 00:00:00",3
121204734,Footscray,Vic,3011,Apartment,295000,"2016-02-04 00:00:00",1
121205058,Footscray,Vic,3011,Apartment,285000,"2016-05-09 00:00:00",2
121207086,Footscray,Vic,3011,Unit,355000,"2016-03-12 00:00:00",2
121207306,Footscray,Vic,3011,House,785800,"2015-11-24 00:00:00",2
121211986,Footscray,Vic,3011,Townhouse,430000,"2015-11-24 00:00:00",2
121218778,Footscray,Vic,3011,House,665000,"2015-12-15 00:00:00",3
121225646,Footscray,Vic,3011,Apartment,330000,"2015-11-28 00:00:00",2
121228562,Footscray,Vic,3011,House,740000,"2015-12-07 00:00:00",3
121237462,Footscray,Vic,3011,Villa,300000,"2015-12-05 00:00:00",2
121239826,Footscray,Vic,3011,Apartment,360000,"2016-01-13 00:00:00",2
121242350,Footscray,Vic,3011,House,659000,"2016-02-05 00:00:00",2
121250242,Footscray,Vic,3011,Apartment,0,"2015-12-23 00:00:00",2
121262554,Footscray,Vic,3011,House,665000,"2016-02-09 00:00:00",2
121271122,Footscray,Vic,3011,Apartment,285000,"2016-02-12 00:00:00",2
121288110,Footscray,Vic,3011,Apartment,265000,"2016-09-02 00:00:00",1
121295198,Footscray,Vic,3011,House,2110000,"2015-12-12 00:00:00",6
121296342,Footscray,Vic,3011,Apartment,355000,"2015-12-07 00:00:00",2
121299606,Footscray,Vic,3011,Townhouse,488500,"2015-12-09 00:00:00",3
121302046,Footscray,Vic,3011,House,688000,"2015-11-12 00:00:00",3
121346322,Footscray,Vic,3011,House,667500,"2015-12-19 00:00:00",2
121353946,Footscray,Vic,3011,House,536000,"2016-03-16 00:00:00",2
121357878,Footscray,Vic,3011,Apartment,410000,"2015-12-19 00:00:00",2
121387474,Footscray,Vic,3011,Unit,245000,"2016-02-24 00:00:00",2
121411098,Footscray,Vic,3011,Apartment,232000,"2015-12-19 00:00:00",1
121437026,Footscray,Vic,3011,Apartment,220000,"2016-08-29 00:00:00",1
121449326,Footscray,Vic,3011,Other,780000,"2015-12-07 00:00:00",6
121458902,Footscray,Vic,3011,Apartment,331000,"2015-12-12 00:00:00",2
121498378,Footscray,Vic,3011,Apartment,244000,"2016-01-07 00:00:00",1
121501918,Footscray,Vic,3011,Apartment,1000000,"2016-01-28 00:00:00",6
121517514,Footscray,Vic,3011,Unit,255000,"2016-02-02 00:00:00",2
121537902,Footscray,Vic,3011,House,405000,"2016-04-11 00:00:00",2
121599890,Footscray,Vic,3011,House,650000,"2016-02-06 00:00:00",2
121603766,Footscray,Vic,3011,Unit,235000,"2016-02-08 00:00:00",1
121667826,Footscray,Vic,3011,Townhouse,670000,"2016-03-21 00:00:00",3
121675938,Footscray,Vic,3011,Apartment,440000,"2016-02-20 00:00:00",3
121676798,Footscray,Vic,3011,Apartment,470000,"2016-04-07 00:00:00",2
121676854,Footscray,Vic,3011,Apartment,385000,"2016-06-06 00:00:00",3
121715002,Footscray,Vic,3011,House,1205000,"2016-02-27 00:00:00",4
121724298,Footscray,Vic,3011,House,695000,"2016-02-20 00:00:00",2
121726402,Footscray,Vic,3011,Unit,305000,"2016-02-20 00:00:00",2
121727118,Footscray,Vic,3011,Townhouse,542500,"2016-03-18 00:00:00",2
121727122,Footscray,Vic,3011,Townhouse,751000,"2016-02-20 00:00:00",3
121741762,Footscray,Vic,3011,Townhouse,490000,"2016-03-05 00:00:00",2
121742538,Footscray,Vic,3011,House,1800000,"2016-02-27 00:00:00",6
121752590,Footscray,Vic,3011,Townhouse,625000,"2016-02-19 00:00:00",2
121764974,Footscray,Vic,3011,Townhouse,505000,"2016-02-27 00:00:00",2
121771878,Footscray,Vic,3011,Apartment,433000,"2016-02-25 00:00:00",2
121783394,Footscray,Vic,3011,Apartment,305000,"2016-03-19 00:00:00",2
121791250,Footscray,Vic,3011,Townhouse,632000,"2016-02-27 00:00:00",2
121791258,Footscray,Vic,3011,Townhouse,855000,"2016-02-27 00:00:00",3
121795570,Footscray,Vic,3011,Warehouse,900000,"2016-07-25 00:00:00",1
121796094,Footscray,Vic,3011,House,1200000,"2016-03-07 00:00:00",6
121798306,Footscray,Vic,3011,Apartment,520000,"2016-03-05 00:00:00",3
121798310,Footscray,Vic,3011,House,716000,"2016-02-27 00:00:00",3
121809582,Footscray,Vic,3011,House,540000,"2016-03-02 00:00:00",1
121828846,Footscray,Vic,3011,Apartment,110000,"2016-07-06 00:00:00",1
121844158,Footscray,Vic,3011,House,175000,"2016-04-01 00:00:00",1
121845898,Footscray,Vic,3011,Apartment,260000,"2016-03-07 00:00:00",2
121865078,Footscray,Vic,3011,House,856000,"2016-03-05 00:00:00",2
121870802,Footscray,Vic,3011,Apartment,337000,"2016-06-06 00:00:00",1
121870838,Footscray,Vic,3011,House,580000,"2016-03-05 00:00:00",2
121883210,Footscray,Vic,3011,Apartment,639000,"2016-07-21 00:00:00",3
121889698,Footscray,Vic,3011,House,1346000,"2016-03-12 00:00:00",4
121891470,Footscray,Vic,3011,Townhouse,612500,"2016-03-12 00:00:00",3
121895374,Footscray,Vic,3011,Apartment,365000,"2016-09-13 00:00:00",2
121903174,Footscray,Vic,3011,House,550000,"2016-03-07 00:00:00",2
121944654,Footscray,Vic,3011,Townhouse,430000,"2016-04-02 00:00:00",2
121944854,Footscray,Vic,3011,House,750000,"2016-04-15 00:00:00",3
121954150,Footscray,Vic,3011,Other,720000,"2016-08-26 00:00:00",0
121955406,Footscray,Vic,3011,House,680000,"2016-03-19 00:00:00",2
121960590,Footscray,Vic,3011,Townhouse,410000,"2016-04-05 00:00:00",2
121984190,Footscray,Vic,3011,Apartment,422500,"2016-05-02 00:00:00",2
121984838,Footscray,Vic,3011,House,765000,"2016-03-10 00:00:00",2
121993622,Footscray,Vic,3011,Apartment,301000,"2016-04-16 00:00:00",2
121994758,Footscray,Vic,3011,House,714000,"2016-03-19 00:00:00",2
121995290,Footscray,Vic,3011,House,810000,"2016-03-19 00:00:00",4
121996154,Footscray,Vic,3011,Apartment,420000,"2016-03-21 00:00:00",2
122010178,Footscray,Vic,3011,Studio,90000,"2016-07-26 00:00:00",1
122033770,Footscray,Vic,3011,Apartment,390000,"2016-03-21 00:00:00",2
